county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Lassen,12/29/2021,1,0,1,25,0,0,0
Lassen,12/30/2021,2,0,2,25,0,0,0
Lassen,12/31/2021,2,0,2,25,0,0,0
Lassen,1/1/2022,2,0,2,25,0,0,0
Lassen,1/2/2022,2,0,2,25,0,0,0
Lassen,1/3/2022,2,0,2,25,0,0,0
Lassen,1/4/2022,1,0,1,25,0,0,0
Lassen,1/5/2022,2,0,2,25,0,0,0
Lassen,1/6/2022,2,0,2,25,0,0,0
Lassen,1/7/2022,2,0,2,25,0,0,0
Lassen,1/8/2022,2,0,2,25,0,0,0
Lassen,1/9/2022,2,0,2,25,0,0,0
Lassen,1/10/2022,1,0,1,25,0,0,0
Lassen,1/11/2022,1,0,1,25,0,0,0
Lassen,1/12/2022,0,0,0,25,0,0,0
Lassen,1/13/2022,0,0,0,25,0,0,0
Lassen,1/14/2022,1,0,1,25,0,0,0
Lassen,1/15/2022,1,0,1,25,0,0,0
Lassen,1/16/2022,1,0,1,25,0,0,0
Lassen,1/17/2022,0,0,0,25,0,0,0
Lassen,1/18/2022,0,0,0,25,0,0,0
Lassen,1/19/2022,0,0,0,25,0,0,0
Lassen,1/20/2022,1,0,1,25,0,0,0
Lassen,1/21/2022,1,0,1,25,0,0,0
Lassen,1/22/2022,1,0,1,25,0,0,0
Lassen,1/23/2022,1,0,1,25,0,0,0
Lassen,1/24/2022,6,0,6,25,0,0,0
Lassen,1/25/2022,6,0,6,25,0,0,0
Lassen,1/26/2022,5,0,5,25,0,0,0
Lassen,1/27/2022,6,0,6,25,0,0,0
Lassen,1/28/2022,5,0,5,25,0,0,0
Lassen,1/29/2022,5,0,5,25,0,0,0
Lassen,1/30/2022,6,0,6,25,0,0,0
Lassen,1/31/2022,7,0,7,25,0,0,0
Lassen,2/1/2022,7,0,7,25,0,0,0
Lassen,2/2/2022,6,0,6,25,0,0,0
Lassen,2/3/2022,6,0,6,25,0,0,0
Lassen,2/4/2022,5,0,5,25,0,0,0
Lassen,2/5/2022,5,0,5,25,0,0,0
Lassen,2/6/2022,5,0,5,25,0,0,0
Lassen,2/7/2022,5,0,5,25,0,0,0
Lassen,2/8/2022,5,0,5,25,0,0,0
Lassen,2/9/2022,5,0,5,25,0,0,0
Lassen,2/10/2022,5,0,5,25,0,0,0
Lassen,2/11/2022,3,0,3,25,0,0,0
Lassen,2/12/2022,3,0,3,25,0,0,0
Lassen,2/13/2022,3,0,3,25,0,0,0
Lassen,2/14/2022,3,0,3,25,0,0,0
Lassen,2/15/2022,2,0,2,25,0,0,0
Lassen,2/16/2022,1,0,1,25,0,0,0
Lassen,2/17/2022,2,0,2,25,0,0,0
Lassen,2/18/2022,4,0,4,25,0,0,0
Lassen,2/19/2022,4,0,4,25,0,0,0
Lassen,2/20/2022,4,0,4,25,0,0,0
Lassen,2/21/2022,1,0,1,25,0,0,0
Lassen,2/22/2022,1,0,1,25,0,0,0
Lassen,2/23/2022,1,0,1,25,0,0,0
Lassen,2/24/2022,0,0,0,25,0,0,0
Lassen,2/25/2022,1,0,1,25,0,0,0
Lassen,2/26/2022,1,0,1,25,0,0,0
Lassen,2/27/2022,1,0,1,25,0,0,0
Lassen,2/28/2022,1,0,1,25,0,0,0
Lassen,3/1/2022,1,0,1,25,0,0,0
Lassen,3/2/2022,0,0,0,25,0,0,0
Lassen,3/3/2022,0,0,0,25,0,0,0
Lassen,3/4/2022,0,0,0,25,0,0,0
Lassen,3/5/2022,0,0,0,25,0,0,0
Lassen,3/6/2022,0,0,0,25,0,0,0
Lassen,3/7/2022,0,0,0,25,0,0,0
Lassen,3/8/2022,1,0,1,25,0,0,0
Lassen,3/9/2022,1,0,1,25,0,0,0
Lassen,3/10/2022,0,0,0,25,0,0,0
Lassen,3/11/2022,0,0,0,25,0,0,0
Lassen,3/12/2022,0,0,0,25,0,0,0
Lassen,3/13/2022,0,0,0,25,0,0,0
Lassen,3/14/2022,0,0,0,25,0,0,0
Lassen,3/15/2022,0,0,0,25,0,0,0
Lassen,3/16/2022,0,0,0,25,0,0,0
Lassen,3/17/2022,0,0,0,25,0,0,0
Lassen,3/18/2022,0,0,0,25,0,0,0
Lassen,3/19/2022,0,0,0,25,0,0,0
Lassen,3/20/2022,0,0,0,25,0,0,0
Lassen,3/21/2022,0,0,0,25,0,0,0
Lassen,3/22/2022,0,0,0,25,0,0,0
Lassen,3/23/2022,0,0,0,25,0,0,0
Lassen,3/24/2022,0,0,0,25,0,0,0
Lassen,3/25/2022,0,0,0,25,0,0,0
Lassen,3/26/2022,0,0,0,25,0,0,0
Lassen,3/27/2022,0,0,0,25,0,0,0
Lassen,3/28/2022,0,0,0,25,0,0,0
Lassen,3/29/2022,0,0,0,25,0,0,0
Lassen,3/30/2022,0,0,0,25,0,0,0
Lassen,3/31/2022,0,0,0,25,0,0,0
Lassen,4/1/2022,0,0,0,25,0,0,0
Lassen,4/2/2022,0,0,0,25,0,0,0
Lassen,4/3/2022,0,0,0,25,0,0,0
Lassen,4/4/2022,0,0,0,25,0,0,0
Lassen,4/5/2022,0,0,0,25,0,0,0
Lassen,4/6/2022,0,0,0,25,0,0,0
Lassen,4/7/2022,0,0,0,25,0,0,0
Lassen,4/8/2022,1,0,1,25,0,0,0
Lassen,4/9/2022,1,0,1,25,0,0,0
Lassen,4/10/2022,1,0,1,25,0,0,0
Lassen,4/11/2022,1,0,1,25,0,0,0
Lassen,4/12/2022,1,0,1,25,0,0,0
Lassen,4/13/2022,1,0,1,25,0,0,0
Lassen,4/14/2022,0,0,0,25,0,0,0
Lassen,4/15/2022,0,0,0,25,0,0,0
Lassen,4/16/2022,0,0,0,25,0,0,0
Lassen,4/17/2022,0,0,0,25,0,0,0
Lassen,4/18/2022,0,0,0,25,0,0,0
Lassen,4/19/2022,0,0,0,25,0,0,0
Lassen,4/20/2022,0,0,0,25,0,0,0
Lassen,4/21/2022,0,0,0,25,0,0,0
Lassen,4/22/2022,0,0,0,25,0,0,0
Lassen,4/23/2022,0,0,0,25,0,0,0
Lassen,4/24/2022,0,0,0,25,0,0,0
Lassen,4/25/2022,0,0,0,25,0,0,0
Lassen,4/26/2022,0,0,0,25,0,0,0
Lassen,4/27/2022,0,0,0,25,0,0,0
Lassen,4/28/2022,0,0,0,25,0,0,0
Lassen,4/29/2022,0,0,0,25,0,0,0
Lassen,4/30/2022,0,0,0,25,0,0,0
Lassen,5/1/2022,0,0,0,25,0,0,0
Lassen,5/2/2022,0,0,0,25,0,0,0
Lassen,5/3/2022,0,0,0,25,0,0,0
Lassen,5/4/2022,0,0,0,25,0,0,0
Lassen,5/5/2022,0,0,0,25,0,0,0
Lassen,5/6/2022,0,0,0,25,0,0,0
Lassen,5/7/2022,0,0,0,25,0,0,0
Lassen,5/8/2022,0,0,0,25,0,0,0
Lassen,5/9/2022,0,0,0,25,0,0,0
Lassen,5/10/2022,0,0,0,25,0,0,0
Lassen,5/11/2022,0,0,0,25,0,0,0
Lassen,5/12/2022,0,0,0,25,0,0,0
Lassen,5/13/2022,0,0,0,25,0,0,0
Lassen,5/14/2022,0,0,0,25,0,0,0
Lassen,5/15/2022,0,0,0,25,0,0,0
Lassen,5/16/2022,1,0,1,25,0,0,0
Lassen,5/17/2022,1,0,1,25,0,0,0
Lassen,5/18/2022,1,0,1,25,0,0,0
Lassen,5/19/2022,1,0,1,25,0,0,0
Lassen,5/20/2022,0,0,0,25,0,0,0
Lassen,5/21/2022,0,0,0,25,0,0,0
Lassen,5/22/2022,0,0,0,25,0,0,0
Lassen,5/23/2022,0,0,0,25,0,0,0
Lassen,5/24/2022,0,0,0,25,0,0,0
Lassen,5/25/2022,1,0,1,25,0,0,0
Lassen,5/26/2022,1,0,1,25,0,0,0
Lassen,5/27/2022,1,0,1,25,0,0,0
Lassen,5/28/2022,1,0,1,25,0,0,0
Lassen,5/29/2022,1,0,1,25,0,0,0
Lassen,5/30/2022,1,0,1,25,0,0,0
Lassen,5/31/2022,1,0,1,25,0,0,0
Lassen,6/1/2022,1,0,1,25,0,0,0
Lassen,6/2/2022,2,0,2,25,0,0,0
Lassen,6/3/2022,1,0,1,25,0,0,0
Lassen,6/4/2022,1,0,1,25,0,0,0
Lassen,6/5/2022,1,0,1,25,0,0,0
Lassen,6/6/2022,2,0,2,25,0,0,0
Lassen,6/7/2022,2,0,2,25,0,0,0
Lassen,6/8/2022,2,0,2,25,0,0,0
Lassen,6/9/2022,2,0,2,25,0,0,0
Lassen,6/10/2022,3,0,3,25,0,0,0
Lassen,6/11/2022,3,0,3,25,0,0,0
Lassen,6/12/2022,3,0,3,25,0,0,0
Lassen,6/13/2022,2,0,2,25,0,0,0
Lassen,6/14/2022,1,0,1,25,0,0,0
Lassen,6/15/2022,1,0,1,25,0,0,0
Lassen,6/16/2022,2,0,2,25,0,0,0
Lassen,6/17/2022,1,0,1,25,0,0,0
Lassen,6/18/2022,1,0,1,25,0,0,0
Lassen,6/19/2022,1,0,1,25,0,0,0
Lassen,6/20/2022,1,0,1,25,0,0,0
Lassen,6/21/2022,0,0,0,25,0,0,0
Lassen,6/22/2022,0,0,0,25,0,0,0
Lassen,6/23/2022,0,0,0,25,0,0,0
Lassen,6/24/2022,1,0,1,25,0,0,0
Lassen,6/25/2022,1,0,1,25,0,0,0
Lassen,6/26/2022,1,0,1,25,0,0,0
Lassen,6/27/2022,1,0,1,25,0,0,0
Lassen,6/28/2022,2,0,2,25,0,0,0
Lassen,6/29/2022,2,0,2,25,0,0,0
Lassen,6/30/2022,2,0,2,25,0,0,0
Lassen,7/1/2022,2,0,2,25,0,0,0
Lassen,7/2/2022,2,0,2,25,0,0,0
Lassen,7/3/2022,2,0,2,25,0,0,0
Lassen,7/4/2022,2,0,2,25,0,0,0
Lassen,7/5/2022,4,0,4,25,0,0,0
Lassen,7/6/2022,4,0,4,25,0,0,0
Lassen,7/7/2022,4,0,4,25,0,0,0
Lassen,7/8/2022,5,0,5,25,0,0,0
Lassen,7/9/2022,5,0,5,25,0,0,0
Lassen,7/10/2022,5,0,5,25,0,0,0
Lassen,7/11/2022,2,0,2,25,0,0,0
Lassen,7/12/2022,0,0,0,25,0,0,0
Lassen,7/13/2022,1,0,1,25,0,0,0
Lassen,7/14/2022,1,0,1,25,0,0,0
Lassen,7/15/2022,1,0,1,25,0,0,0
Lassen,7/16/2022,1,0,1,25,0,0,0
Lassen,7/17/2022,1,0,1,25,0,0,0
Lassen,7/18/2022,1,0,1,25,0,0,0
Lassen,7/19/2022,0,0,0,25,0,0,0
Lassen,7/20/2022,0,0,0,25,0,0,0
Lassen,7/21/2022,0,0,0,25,0,0,0
Lassen,7/22/2022,0,0,0,25,0,0,0
Lassen,7/23/2022,0,0,0,25,0,0,0
Lassen,7/24/2022,0,0,0,25,0,0,0
Lassen,7/25/2022,1,0,1,25,0,0,0
Lassen,7/26/2022,1,0,1,25,0,0,0
Lassen,7/27/2022,1,0,1,25,0,0,0
Lassen,7/28/2022,1,0,1,25,0,0,0
Lassen,7/29/2022,1,0,1,25,0,0,0
Lassen,7/30/2022,1,0,1,25,0,0,0
Lassen,7/31/2022,1,0,1,25,0,0,0
Lassen,8/1/2022,0,0,0,25,0,0,0
Lassen,8/2/2022,0,0,0,25,0,0,0
Lassen,8/3/2022,0,0,0,25,0,0,0
Lassen,8/4/2022,0,0,0,25,0,0,0
Lassen,8/5/2022,0,0,0,25,0,0,0
Lassen,8/6/2022,0,0,0,25,0,0,0
Lassen,8/7/2022,0,0,0,25,0,0,0
Lassen,8/8/2022,1,0,1,25,0,0,0
Lassen,8/9/2022,1,0,1,25,0,0,0
Lassen,8/10/2022,1,0,1,25,0,0,0
Lassen,8/11/2022,1,0,1,25,0,0,0
Lassen,8/12/2022,1,0,1,25,0,0,0
Lassen,8/13/2022,1,0,1,25,0,0,0
Lassen,8/14/2022,1,0,1,25,0,0,0
Lassen,8/15/2022,0,0,0,25,0,0,0
Lassen,8/16/2022,0,0,0,25,0,0,0
Lassen,8/17/2022,0,0,0,25,0,0,0
Lassen,8/18/2022,0,0,0,25,0,0,0
Lassen,8/19/2022,0,0,0,25,0,0,0
Lassen,8/20/2022,0,0,0,25,0,0,0
Lassen,8/21/2022,0,0,0,25,0,0,0
Lassen,8/22/2022,0,0,0,25,0,0,0
Lassen,8/23/2022,0,0,0,25,0,0,0
Lassen,8/24/2022,0,0,0,25,0,0,0
Lassen,8/25/2022,0,0,0,25,0,0,0
Lassen,8/26/2022,4,0,4,25,0,0,0
Lassen,8/27/2022,0,0,0,25,0,0,0
Lassen,8/28/2022,0,0,0,25,0,0,0
Lassen,8/29/2022,0,0,0,25,0,0,0
Lassen,8/30/2022,0,0,0,25,0,0,0
Lassen,8/31/2022,0,0,0,25,0,0,0
Lassen,9/1/2022,0,0,0,25,0,0,0
Lassen,9/2/2022,7,0,7,25,0,0,0
Lassen,9/3/2022,0,0,0,25,0,0,0
Lassen,9/4/2022,0,0,0,25,0,0,0
Lassen,9/5/2022,0,0,0,25,0,0,0
Lassen,9/6/2022,0,0,0,25,0,0,0
Lassen,9/7/2022,0,0,0,25,0,0,0
Lassen,9/8/2022,0,0,0,25,0,0,0
Lassen,9/9/2022,0,0,0,25,0,0,0
Lassen,9/10/2022,0,0,0,25,0,0,0
Lassen,9/11/2022,0,0,0,25,0,0,0
Lassen,9/12/2022,0,0,0,25,0,0,0
Lassen,9/13/2022,0,0,0,25,0,0,0
Lassen,9/14/2022,0,0,0,25,0,0,0
Lassen,9/15/2022,0,0,0,25,0,0,0
Lassen,9/16/2022,0,0,0,25,0,0,0
Lassen,9/17/2022,0,0,0,25,0,0,0
Lassen,9/18/2022,0,0,0,25,0,0,0
Lassen,9/19/2022,0,0,0,25,0,0,0
Lassen,9/20/2022,0,0,0,25,0,0,0
Lassen,9/21/2022,0,0,0,25,0,0,0
Lassen,9/22/2022,0,0,0,25,0,0,0
Lassen,9/23/2022,0,0,0,25,0,0,0
Lassen,9/24/2022,0,0,0,25,0,0,0
Lassen,9/25/2022,0,0,0,25,0,0,0
Lassen,9/26/2022,0,0,0,25,0,0,0
Lassen,9/27/2022,0,0,0,25,0,0,0
Lassen,9/28/2022,0,0,0,25,0,0,0
Lassen,9/29/2022,0,0,0,25,0,0,0
Lassen,9/30/2022,0,0,0,25,0,0,0
Lassen,10/1/2022,0,0,0,25,0,0,0
Lassen,10/2/2022,0,0,0,25,0,0,0
Lassen,10/3/2022,2,0,2,25,0,0,0
Lassen,10/4/2022,2,0,2,25,0,0,0
Lassen,10/5/2022,1,0,1,25,0,0,0
Lassen,10/6/2022,1,0,1,25,0,0,0
Lassen,10/7/2022,1,0,1,25,0,0,0
Lassen,10/8/2022,1,0,1,25,0,0,0
Lassen,10/9/2022,1,0,1,25,0,0,0
Lassen,10/10/2022,0,0,0,25,0,0,0
Lassen,10/11/2022,0,0,0,25,0,0,0
Lassen,10/12/2022,0,0,0,25,0,0,0
Lassen,10/13/2022,0,0,0,25,0,0,0
Lassen,10/14/2022,0,0,0,25,0,0,0
Lassen,10/15/2022,0,0,0,25,0,0,0
Lassen,10/16/2022,1,0,1,25,0,0,0
Lassen,10/17/2022,1,0,1,25,0,0,0
Lassen,10/18/2022,1,0,1,25,0,0,0
Lassen,10/19/2022,0,0,0,25,0,0,0
Lassen,10/20/2022,0,0,0,25,0,0,0
Lassen,10/21/2022,0,0,0,25,0,0,0
Lassen,10/22/2022,0,0,0,25,0,0,0
Lassen,10/23/2022,0,0,0,25,0,0,0
Lassen,10/24/2022,1,0,1,25,0,0,0
Lassen,10/25/2022,1,0,1,25,0,0,0
Lassen,10/26/2022,0,0,0,25,0,0,0
Lassen,10/27/2022,0,0,0,25,0,0,0
Lassen,10/28/2022,1,0,1,25,0,0,0
Lassen,10/29/2022,1,0,1,25,0,0,0
Lassen,10/30/2022,1,0,1,25,0,0,0
Lassen,10/31/2022,1,0,1,25,0,0,0
Lassen,11/1/2022,0,0,0,25,0,0,0
Lassen,11/2/2022,0,0,0,25,0,0,0
Lassen,11/3/2022,0,0,0,25,0,0,0
Lassen,11/4/2022,0,0,0,25,0,0,0
Lassen,11/5/2022,0,0,0,25,0,0,0
Lassen,11/6/2022,0,0,0,25,0,0,0
Lassen,11/7/2022,0,0,0,25,0,0,0
Lassen,11/8/2022,0,0,0,25,0,0,0
Lassen,11/9/2022,0,0,0,25,0,0,0
Lassen,11/10/2022,0,0,0,25,0,0,0
Lassen,11/11/2022,0,0,0,25,0,0,0
Lassen,11/12/2022,0,0,0,25,0,0,0
Lassen,11/13/2022,0,0,0,25,0,0,0
Lassen,11/14/2022,0,0,0,25,0,0,0
Lassen,11/15/2022,0,0,0,25,0,0,0
Lassen,11/16/2022,0,0,0,25,0,0,0
Lassen,11/17/2022,0,0,0,25,0,0,0
Lassen,11/18/2022,0,0,0,25,0,0,0
Lassen,11/19/2022,0,0,0,25,0,0,0
Lassen,11/20/2022,0,0,0,25,0,0,0
Lassen,11/21/2022,0,0,0,25,0,0,0
Lassen,11/22/2022,0,0,0,25,0,0,0
Lassen,11/23/2022,0,0,0,25,0,0,0
Lassen,11/24/2022,1,0,1,25,0,0,0
Lassen,11/25/2022,0,0,0,25,0,0,0
Lassen,11/26/2022,0,0,0,25,0,0,0
Lassen,11/27/2022,0,0,0,25,0,0,0
Lassen,11/28/2022,0,0,0,25,0,0,0
Lassen,11/29/2022,0,0,0,25,0,0,0
Lassen,11/30/2022,0,0,0,25,0,0,0
Lassen,12/1/2022,0,0,0,25,0,0,0
Lassen,12/2/2022,0,0,0,25,0,0,0
Lassen,12/3/2022,0,0,0,25,0,0,0
Lassen,12/4/2022,0,0,0,25,0,0,0
Lassen,12/5/2022,0,0,0,25,0,0,0
Lassen,12/6/2022,0,0,0,25,0,0,0
Lassen,12/7/2022,0,0,0,25,0,0,0
Lassen,12/8/2022,0,0,0,25,0,0,0
Lassen,12/9/2022,0,0,0,25,0,0,0
Lassen,12/10/2022,0,0,0,25,0,0,0
Lassen,12/11/2022,0,0,0,25,0,0,0
Lassen,12/12/2022,0,0,0,25,0,0,0
Lassen,12/13/2022,0,0,0,25,0,0,0
Lassen,12/14/2022,0,0,0,25,0,0,0
Lassen,12/15/2022,0,0,0,25,0,0,0
Lassen,12/16/2022,0,0,0,25,0,0,0
Lassen,12/17/2022,0,0,0,25,0,0,0
Lassen,12/18/2022,0,0,0,25,0,0,0
Lassen,12/19/2022,0,0,0,25,0,0,0
Lassen,12/20/2022,0,0,0,25,0,0,0
Lassen,12/21/2022,0,0,0,25,0,0,0
Lassen,12/22/2022,0,0,0,25,0,0,0
Lassen,12/23/2022,0,0,0,25,0,0,0
Lassen,12/24/2022,0,0,0,25,0,0,0
Lassen,12/25/2022,0,0,0,25,0,0,0
Lassen,12/26/2022,0,0,0,25,0,0,0
Lassen,12/27/2022,0,0,0,25,0,0,0
Lassen,12/28/2022,0,0,0,25,0,0,0
Lassen,12/29/2022,0,0,0,25,0,0,0
Lassen,12/30/2022,1,2,3,25,0,0,0
Lassen,12/31/2022,0,0,0,25,0,0,0
Lassen,1/1/2023,0,0,0,25,0,0,0
Lassen,1/2/2023,0,0,0,25,0,0,0
Lassen,1/3/2023,0,0,0,25,0,0,0
Lassen,1/4/2023,1,0,1,25,0,0,0
Lassen,1/5/2023,0,0,0,25,0,0,0
Lassen,1/6/2023,1,2,3,25,0,0,0
Lassen,1/7/2023,2,0,2,25,0,0,0
Lassen,1/8/2023,3,0,3,25,0,0,0
Lassen,1/9/2023,2,0,2,25,0,0,0
Lassen,1/10/2023,0,0,0,25,0,0,0
Lassen,1/11/2023,1,0,1,25,0,0,0
Lassen,1/12/2023,0,0,0,25,0,0,0
Lassen,1/13/2023,1,0,1,25,0,0,0
Lassen,1/14/2023,0,0,0,25,0,0,0
Lassen,1/15/2023,0,0,0,25,0,0,0
Lassen,1/16/2023,0,0,0,25,0,0,0
Lassen,1/17/2023,0,0,0,25,0,0,0
Lassen,1/18/2023,0,0,0,25,0,0,0
Lassen,1/19/2023,0,0,0,25,0,0,0
Lassen,1/20/2023,1,0,1,25,0,0,0
Lassen,1/21/2023,0,0,0,25,0,0,0
Lassen,1/22/2023,0,0,0,25,0,0,0
Lassen,1/23/2023,0,0,0,25,0,0,0
Lassen,1/24/2023,0,0,0,25,0,0,0
Lassen,1/25/2023,0,0,0,25,0,0,0
Lassen,1/26/2023,0,0,0,25,0,0,0
Lassen,1/27/2023,1,0,1,25,0,0,0
Lassen,1/28/2023,0,0,0,25,0,0,0
Lassen,1/29/2023,0,0,0,25,0,0,0
Lassen,1/30/2023,0,0,0,25,0,0,0
Lassen,1/31/2023,0,0,0,25,0,0,0
Lassen,2/1/2023,0,0,0,25,0,0,0
Lassen,2/2/2023,0,0,0,25,0,0,0
Lassen,2/3/2023,0,0,0,25,0,0,0
Lassen,2/4/2023,0,0,0,25,0,0,0
Lassen,2/5/2023,0,0,0,25,0,0,0
Lassen,2/6/2023,0,0,0,25,0,0,0
Lassen,2/7/2023,0,0,0,25,0,0,0
Lassen,2/8/2023,0,0,0,25,0,0,0
Lassen,2/9/2023,0,0,0,25,0,0,0
Lassen,2/10/2023,0,0,0,25,0,0,0
Lassen,2/11/2023,0,0,0,25,0,0,0
Lassen,2/12/2023,0,0,0,25,0,0,0
Lassen,2/13/2023,0,0,0,25,0,0,0
Lassen,2/14/2023,0,0,0,25,0,0,0
Lassen,2/15/2023,0,0,0,25,0,0,0
Lassen,2/16/2023,0,0,0,25,0,0,0
Lassen,2/17/2023,0,0,0,25,0,0,0
Lassen,2/18/2023,0,0,0,25,0,0,0
Lassen,2/19/2023,0,0,0,25,0,0,0
Lassen,2/20/2023,0,0,0,25,0,0,0
Lassen,2/21/2023,0,0,0,0,0,0,0
Lassen,2/22/2023,0,0,0,25,0,0,0
Lassen,2/23/2023,0,0,0,25,0,0,0
Lassen,2/24/2023,0,0,0,25,0,0,0
Lassen,2/25/2023,0,0,0,25,0,0,0
Lassen,2/26/2023,0,0,0,25,0,0,0
Lassen,2/27/2023,0,0,0,25,0,0,0
Lassen,2/28/2023,0,0,0,0,0,0,0
Lassen,3/1/2023,0,0,0,25,0,0,0
Lassen,3/2/2023,0,0,0,25,0,0,0
Lassen,3/3/2023,0,0,0,25,0,0,0
Lassen,3/4/2023,0,0,0,25,0,0,0
Lassen,3/5/2023,0,0,0,25,0,0,0
Lassen,3/6/2023,1,0,1,25,0,0,0
Lassen,3/7/2023,0,0,0,0,0,0,0
Lassen,3/8/2023,0,0,0,25,0,0,0
Lassen,3/9/2023,0,0,0,25,0,0,0
Lassen,3/10/2023,0,0,0,25,0,0,0
Lassen,3/11/2023,0,0,0,25,0,0,0
Lassen,3/12/2023,0,0,0,25,0,0,0
Lassen,3/13/2023,0,0,0,25,0,0,0
Lassen,3/14/2023,0,0,0,0,0,0,0
Lassen,3/15/2023,0,0,0,25,0,0,0
Lassen,3/16/2023,0,0,0,25,0,0,0
Lassen,3/17/2023,0,0,0,25,0,0,0
Lassen,3/18/2023,0,0,0,25,0,0,0
Lassen,3/19/2023,0,0,0,25,0,0,0
Lassen,3/20/2023,0,0,0,25,0,0,0
Lassen,3/21/2023,0,0,0,0,0,0,0
Lassen,3/22/2023,0,0,0,25,0,0,0
Lassen,3/23/2023,0,0,0,25,0,0,0
Lassen,3/24/2023,0,0,0,25,0,0,0
Lassen,3/25/2023,0,0,0,25,0,0,0
Lassen,3/26/2023,0,0,0,25,0,0,0
Lassen,3/27/2023,0,0,0,25,0,0,0
Lassen,3/28/2023,0,0,0,0,0,0,0
Lassen,3/29/2023,0,0,0,25,0,0,0
Lassen,3/30/2023,0,0,0,25,0,0,0
Lassen,3/31/2023,1,0,1,25,0,0,0
Lassen,4/1/2023,0,0,0,25,0,0,0
Lassen,4/2/2023,0,0,0,25,0,0,0
Lassen,4/3/2023,0,0,0,25,0,0,0
Lassen,4/4/2023,0,0,0,0,0,0,0
Lassen,4/5/2023,0,0,0,25,0,0,0
Lassen,4/6/2023,0,0,0,25,0,0,0
Lassen,4/7/2023,1,0,1,25,0,0,0
Lassen,4/8/2023,0,0,0,25,0,0,0
Lassen,4/9/2023,0,0,0,25,0,0,0
Lassen,4/10/2023,0,0,0,25,0,0,0
Lassen,4/11/2023,0,0,0,0,0,0,0
Lassen,4/12/2023,0,0,0,25,0,0,0
Lassen,4/13/2023,0,0,0,25,0,0,0
Lassen,4/14/2023,0,0,0,25,0,0,0
Lassen,4/15/2023,0,0,0,25,0,0,0
Lassen,4/16/2023,0,0,0,25,0,0,0
Lassen,4/17/2023,0,0,0,25,0,0,0
Lassen,4/18/2023,0,0,0,0,0,0,0
Lassen,4/19/2023,0,0,0,25,0,0,0
Lassen,4/20/2023,0,0,0,25,0,0,0
Lassen,4/21/2023,0,0,0,25,0,0,0
Lassen,4/22/2023,0,0,0,25,0,0,0
Lassen,4/23/2023,0,0,0,25,0,0,0
Lassen,4/24/2023,0,0,0,25,0,0,0
Lassen,4/25/2023,0,0,0,0,0,0,0
Lassen,4/26/2023,0,0,0,25,0,0,0
Lassen,4/27/2023,0,0,0,25,0,0,0
Lassen,4/28/2023,0,0,0,25,0,0,0
Lassen,4/29/2023,0,0,0,25,0,0,0
Lassen,4/30/2023,0,0,0,25,0,0,0
Lassen,5/1/2023,0,0,0,25,0,0,0
Lassen,5/2/2023,0,0,0,0,0,0,0
Lassen,5/3/2023,0,0,0,25,0,0,0
Lassen,5/4/2023,0,0,0,25,0,0,0
Lassen,5/5/2023,0,0,0,25,0,0,0
Lassen,5/6/2023,0,0,0,25,0,0,0
Lassen,5/7/2023,0,0,0,25,0,0,0
Lassen,5/8/2023,0,0,0,25,0,0,0
Lassen,5/9/2023,0,0,0,0,0,0,0
Lassen,5/10/2023,0,0,0,25,0,0,0
Lassen,5/11/2023,0,0,0,,0,,0
Lassen,5/12/2023,1,0,1,,0,,0
Lassen,5/13/2023,1,0,1,,0,,0
Lassen,5/14/2023,1,0,1,,0,,0
Lassen,5/15/2023,1,0,1,,0,,0
Lassen,5/16/2023,0,0,0,,0,,0
Lassen,5/17/2023,0,0,0,,0,,0
Lassen,5/18/2023,1,0,1,,0,,0
Lassen,5/19/2023,1,0,1,,0,,0
Lassen,5/20/2023,1,0,1,,0,,0
Lassen,5/21/2023,1,1,2,,0,,0
Lassen,5/22/2023,1,0,1,,0,,0
Lassen,5/23/2023,1,0,1,,0,,0
Lassen,5/24/2023,1,0,1,,0,,0
Lassen,5/25/2023,1,0,1,,0,,0
Lassen,5/26/2023,1,0,1,,0,,0
Lassen,5/27/2023,1,0,1,,0,,0
Lassen,5/28/2023,1,0,1,,0,,0
Lassen,5/29/2023,0,0,0,,0,,0
Lassen,5/30/2023,0,0,0,,0,,0
Lassen,5/31/2023,0,0,0,,0,,0
Lassen,6/1/2023,0,0,0,,0,,0
Lassen,6/2/2023,0,0,0,,0,,0
Lassen,6/3/2023,0,0,0,,0,,0
Lassen,6/4/2023,0,0,0,,0,,0
Lassen,6/5/2023,0,0,0,,0,,0
Lassen,6/6/2023,0,0,0,,0,,0
Lassen,6/7/2023,0,0,0,,0,,0
Lassen,6/8/2023,0,0,0,,0,,0
Lassen,6/9/2023,0,0,0,,0,,0
Lassen,6/10/2023,0,0,0,,0,,0
Lassen,6/11/2023,0,0,0,,0,,0
Lassen,6/12/2023,0,0,0,,0,,0
Lassen,6/13/2023,0,0,0,,0,,0
Lassen,6/14/2023,1,0,1,,0,,0
Lassen,6/15/2023,1,0,1,,0,,0
Lassen,6/16/2023,1,1,2,,0,,0
Lassen,6/17/2023,0,0,0,,0,,0
Lassen,6/18/2023,0,0,0,,0,,0
